celebrity_name,ballroom_partner,season,placement,celebrity_age_during_season,star_power_index,industry_cluster,cluster,archetype,pca1,pca2
Riker Lynch,Allison Holker,20,2,23,8.572830591817263,Entertainment,0,Fast Learners,-0.9564007266038854,-0.8850668765516283
Rumer Willis,Valentin Chmerkovskiy,20,1,26,8.572830591817263,Entertainment,1,Underdogs,-0.7627656230223773,-0.9910297397042089
Nastia Liukin,Derek Hough,20,4,25,1.5185902811366818,Sports,2,Fast Learners,-1.5856797491071462,-0.27994147117037005
Michael Sam,Peta Murgatroyd,20,10,25,3.157047358442309,Sports,2,Fast Learners,-0.9658437079019994,-0.13761042169571067
Robert Herjavec,Kym Johnson,20,6,52,18.10594851009501,Other,3,Veteran Stars,0.8933508561608501,-0.6922250013081145
Charlotte McKinney,Keo Motsepe,20,11,21,6.714257800253056,Media,1,Underdogs,0.0018598528015484979,-0.24428967159193316
Noah Galloway,Sharna Burgess,20,3,33,0.2908597600114272,Other,2,Fast Learners,-1.17240810674091,0.46182387480128856
Redfoo,Emma Slater,20,12,39,9.632781422233716,Entertainment,0,Fast Learners,-0.8127167871254728,4.087414457520171
Patti LaBelle,Artem Chigvintsev,20,8,70,9.632781422233716,Entertainment,3,Veteran Stars,1.596426964952335,0.6301372516632843
Chris Soules,Witney Carson,20,5,33,6.435366506974363,Entertainment,1,Underdogs,-0.3592852330097975,0.24244798423163894
Gary Busey,Anna Trebunskaya,21,10,71,25.449383402806813,Entertainment,3,Veteran Stars,3.4231750935045113,0.09214803865664807
Alexa PenaVega,Mark Ballas,21,6,27,8.572830591817263,Entertainment,1,Underdogs,-0.9588376737130002,-0.4384319402075064
Carlos PenaVega,Witney Carson,21,4,26,8.572830591817263,Entertainment,1,Underdogs,-0.9050495314595006,-0.630829708449846
Victor Espinoza,Karina Smirnoff,21,12,43,3.157047358442309,Sports,2,Fast Learners,0.00028657082165479963,2.5843377468220963
Alek Skarlatos,Lindsay Arnold,21,3,22,2.0089331594956903,Other,2,Fast Learners,-1.5200257279661542,-0.5209706826210766
Chaka Khan,Keo Motsepe,21,13,62,9.632781422233716,Entertainment,3,Veteran Stars,2.5528461798440625,1.771843828767324
Andy Grammer,Allison Holker,21,7,31,9.632781422233716,Entertainment,0,Fast Learners,-0.6681919202023123,-0.2282058078744229
Tamar Braxton,Valentin Chmerkovskiy,21,5,38,9.632781422233716,Entertainment,1,Underdogs,-0.0825873545271111,-0.8976799295456803
Nick Carter,Sharna Burgess,21,2,35,21.173752736160615,Entertainment,1,Underdogs,0.09606925492886281,-1.3803779562981766
Hayes Grier,Emma Slater,21,8,15,18.224904662056034,Other,2,Fast Learners,-1.0235379517686853,-0.7982958868942025
Bindi Irwin,Derek Hough,21,1,17,6.435366506974363,Entertainment,1,Underdogs,-1.3065359806538612,-0.9189006079248266
Kim Zolciak-Biermann,Tony Dovolani,21,11,37,6.435366506974363,Entertainment,0,Fast Learners,-0.3798842171897019,4.817642175841332
Paula Deen,Louis van Amstel,21,9,68,6.435366506974363,Entertainment,3,Veteran Stars,2.2919067183309316,0.8878842016850335
Mischa Barton,Artem Chigvintsev,22,11,30,8.572830591817263,Entertainment,1,Underdogs,0.7899281161388148,0.4337157613314429
Kim Fields,Sasha Farber,22,8,46,8.572830591817263,Entertainment,1,Underdogs,0.5621725482679829,0.05703029559785562
Jodie Sweetin,Keo Motsepe,22,6,34,8.572830591817263,Entertainment,0,Fast Learners,-0.5781335934180925,0.2099124532225459
Doug Flutie,Karina Smirnoff,22,9,53,24.736114822347623,Sports,3,Veteran Stars,1.5636308684456142,0.3659099568829705
Von Miller,Witney Carson,22,7,27,3.157047358442309,Sports,2,Fast Learners,-1.2823302506354912,-0.1257024100212811
Antonio Brown,Sharna Burgess,22,5,27,3.157047358442309,Sports,2,Fast Learners,-1.8738527443546174,0.21015900560830178
Paige VanZant,Mark Ballas,22,2,22,3.157047358442309,Sports,2,Fast Learners,-1.9070301103426945,-0.06900294462298723
Geraldo Rivera,Edyta Sliwinska,22,12,72,9.760518786199734,Other,3,Veteran Stars,3.3009866056692423,0.5633817875857194
Nyle DiMarco,Peta Murgatroyd,22,1,26,6.714257800253056,Media,1,Underdogs,-1.174211544719748,-0.5542779320514742
Ginger Zee,Valentin Chmerkovskiy,22,3,35,0.0609090883072503,Media,0,Fast Learners,-1.298913540662612,-0.20124819615174905
Wanya Morris,Lindsay Arnold,22,4,42,9.632781422233716,Entertainment,1,Underdogs,0.061786017302011206,-0.6684107333925983
Marla Maples,Tony Dovolani,22,10,52,38.74460670967856,Entertainment,3,Veteran Stars,3.031719359916246,-2.021586681082656
Jake T. Austin,Jenna Johnson,23,13,21,8.572830591817263,Entertainment,1,Underdogs,0.4069145148545521,0.44189028435904715
Maureen McCormick,Artem Chigvintsev,23,8,60,8.572830591817263,Entertainment,0,Fast Learners,1.1882256803413729,1.0055024752066708
Marilu Henner,Derek Hough,23,6,64,8.572830591817263,Entertainment,3,Veteran Stars,1.2847646446575762,0.1470255307654503
Ryan Lochte,Cheryl Burke,23,7,32,3.016547966362364,Sports,2,Fast Learners,-1.0935861576869839,0.8065251288948193
Calvin Johnson Jr.,Lindsay Arnold,23,3,30,3.157047358442309,Sports,2,Fast Learners,-1.4781983017252294,0.4015146162733189
Laurie Hernandez,Valentin Chmerkovskiy,23,1,16,3.157047358442309,Sports,2,Fast Learners,-2.401718099316181,-0.5027207604769572
Amber Rose,Maksim Chmerkoskiy,23,9,32,6.714257800253056,Media,1,Underdogs,-0.3107110178143769,0.471961150839529
Rick Perry,Emma Slater,23,12,66,5.945023628615355,Other,3,Veteran Stars,1.9884108161256702,1.1037818770960566
James Hinchcliffe,Sharna Burgess,23,2,29,0.0566941065448519,Sports,2,Fast Learners,-2.131756494276043,-0.09809475916654078
Babyface,Allison Holker,23,11,57,9.632781422233716,Entertainment,3,Veteran Stars,1.7391488250785274,-0.9305268020891567
Vanilla Ice,Witney Carson,23,10,48,9.632781422233716,Entertainment,0,Fast Learners,0.8473335690320347,0.24313710936707153
Jana Kramer,Gleb Savchenko,23,4,32,24.53894734212877,Entertainment,1,Underdogs,-0.018069548085154662,-0.46187212881333484
Terra Jole,Sasha Farber,23,5,36,6.435366506974363,Entertainment,0,Fast Learners,-0.27020819495731824,0.30373917178863585
Charo,Keo Motsepe,24,11,66,8.572830591817263,Entertainment,3,Veteran Stars,2.436915818243329,0.9279953206887874
Mr. T,Kym Herjavec,24,10,64,8.572830591817263,Entertainment,3,Veteran Stars,1.8457505314525924,1.670890283369666
Heather Morris,Maksim Chmerkoskiy,24,8,30,3.977797973842655,Entertainment,0,Fast Learners,-0.6399428511728418,0.015157608475849496
Nancy Kerrigan,Artem Chigvintsev,24,7,47,3.157047358442309,Sports,2,Fast Learners,-0.3980469910796358,0.21399569367211424
Bonner Bolton,Sharna Burgess,24,5,29,3.157047358442309,Sports,2,Fast Learners,-0.8795317195362424,0.654639657733
Simone Biles,Sasha Farber,24,4,20,3.157047358442309,Sports,2,Fast Learners,-2.010563997162556,-0.6368722670276504
David Ross,Lindsay Arnold,24,2,40,0.0396000138417919,Sports,2,Fast Learners,-0.7274316444044896,-0.011405770995865438
Rashad Jennings,Emma Slater,24,1,32,3.157047358442309,Sports,2,Fast Learners,-1.6109050914618017,-0.3601778657573795
Chris Kattan,Witney Carson,24,12,46,6.031899086051454,Entertainment,0,Fast Learners,0.8662175750332185,2.9060841041974146
Erika Jayne,Gleb Savchenko,24,9,45,9.632781422233716,Entertainment,1,Underdogs,0.7718875550504101,0.5301547970712207
Normani,Valentin Chmerkovskiy,24,3,20,6.929221870135372,Entertainment,1,Underdogs,-1.1863887562847482,-0.05555697302425826
Nick Viall,Peta Murgatroyd,24,6,36,6.435366506974363,Entertainment,1,Underdogs,-0.054686748707874384,0.6873706042068073
Sasha Pieterse,Gleb Savchenko,25,10,21,8.572830591817263,Entertainment,1,Underdogs,-0.46265333879233406,0.4259714195650067
Frankie Muniz,Witney Carson,25,3,31,8.572830591817263,Entertainment,1,Underdogs,-0.5053238902927073,0.20049634289098303
Jordan Fisher,Lindsay Arnold,25,1,23,8.572830591817263,Entertainment,1,Underdogs,-0.900624296076278,-0.5805167943590416
Derek Fisher,Sharna Burgess,25,11,43,3.157047358442309,Sports,2,Fast Learners,-0.22221017127283949,1.0062827721775465
Nikki Bella,Artem Chigvintsev,25,8,33,3.157047358442309,Sports,2,Fast Learners,-1.3522984564601421,0.38729563913093284
Terrell Owens,Cheryl Burke,25,6,43,3.157047358442309,Sports,2,Fast Learners,-0.7078367100546876,1.676607945020511
Victoria Arlen,Valentin Chmerkovskiy,25,5,22,2.6781785971031624,Sports,2,Fast Learners,-1.7706695077256902,0.3117819133361346
Barbara Corcoran,Keo Motsepe,25,13,68,18.10594851009501,Other,3,Veteran Stars,2.2658243070666706,2.065884296596899
Debbie Gibson,Alan Bersten,25,12,47,9.632781422233716,Entertainment,1,Underdogs,0.8464219597311432,1.9375793791159797
Nick Lachey,Peta Murgatroyd,25,9,43,25.836225062333593,Entertainment,3,Veteran Stars,1.8077358789375781,-0.7005116195437879
Drew Scott,Emma Slater,25,4,39,6.435366506974363,Entertainment,1,Underdogs,0.1575847249246842,0.9108963954459726
Vanessa Lachey,Maksim Chmerkoskiy,25,7,36,6.435366506974363,Entertainment,1,Underdogs,0.11215141951033292,-0.18806832639201057
Kareem Abdul-Jabbar,Lindsay Arnold,26,8,71,3.157047358442309,Sports,2,Fast Learners,0.3997371085244742,3.6086347907499507
Arike Ogunbowale,Gleb Savchenko,26,7,21,3.157047358442309,Sports,2,Fast Learners,-2.6009582942890104,3.3516692289062116
Jennie Finch Daigle,Keo Motsepe,26,6,37,3.157047358442309,Sports,2,Fast Learners,-0.3490152684270762,-0.5223057060803391
Chris Mazdzer,Witney Carson,26,5,29,0.1154696855649623,Sports,2,Fast Learners,-1.2457660779302655,0.5538105083568721
Mirai Nagasu,Alan Bersten,26,4,25,3.157047358442309,Sports,2,Fast Learners,-1.6930785490067182,-0.09923312679759141
Tonya Harding,Sasha Farber,26,3,47,3.157047358442309,Sports,2,Fast Learners,-0.6261902347327873,0.12027038296035618
Josh Norman,Sharna Burgess,26,2,30,3.157047358442309,Sports,2,Fast Learners,-1.667963917588345,0.005622856199156468
Adam Rippon,Jenna Johnson,26,1,28,1.7817924756331125,Sports,2,Fast Learners,-1.8421825209953193,0.048245251002810345
Juan Pablo Di Pace,Cheryl Burke,27,5,39,8.572830591817263,Entertainment,1,Underdogs,-0.13835750044194461,-0.30705951980456025
Evanna Lynch,Keo Motsepe,27,3,27,8.572830591817263,Entertainment,1,Underdogs,-0.6919141166768285,0.6094548781248982
Nancy McKeon,Valentin Chmerkovskiy,27,11,52,8.572830591817263,Entertainment,3,Veteran Stars,1.4235533204897601,0.1533092441703116
John Schneider,Emma Slater,27,8,58,0.0808131688519092,Entertainment,1,Underdogs,0.728721545501517,0.8822267301228355
Milo Manheim,Witney Carson,27,2,17,8.572830591817263,Entertainment,0,Fast Learners,-1.1393451257530058,-0.2730004240119146
Danelle Umstead,Artem Chigvintsev,27,12,46,3.157047358442309,Sports,2,Fast Learners,0.8113912024736922,0.03239418099941706
Mary Lou Retton,Sasha Farber,27,9,50,3.157047358442309,Sports,2,Fast Learners,0.03693185656177998,0.20203537499174926
DeMarcus Ware,Lindsay Arnold,27,7,36,3.157047358442309,Sports,2,Fast Learners,-0.798153292624273,-0.6323735829950902
Bobby Bones,Sharna Burgess,27,1,38,7.407856465821052,Other,2,Fast Learners,-0.41668480417925147,-0.008172579431250944
Tinashe,Brandon Armstrong,27,10,25,9.632781422233716,Entertainment,1,Underdogs,-0.34579579619651934,-0.8398096888233555
Alexis Ren,Alan Bersten,27,4,21,5.534765403741916,Other,2,Fast Learners,-1.4227613704111692,-0.5670970672099419
Joe Amabile,Jenna Johnson,27,6,32,6.435366506974363,Entertainment,1,Underdogs,-0.04486416064152971,1.39348791671868
Kate Flannery,Pasha Pashkov,28,7,55,8.572830591817263,Entertainment,1,Underdogs,0.8618935022321205,1.4012613344009672
James Van Der Beek,Emma Slater,28,5,42,8.572830591817263,Entertainment,1,Underdogs,-0.2593184663032344,0.030140431284295163
Kel Mitchell,Witney Carson,28,2,41,5.461003222899944,Entertainment,1,Underdogs,-0.2614087814910337,1.306719245459938
Ray Lewis,Cheryl Burke,28,11,44,3.157047358442309,Sports,2,Fast Learners,1.2577366921869944,0.19571418011242425
Lamar Odom,Peta Murgatroyd,28,10,39,3.157047358442309,Sports,2,Fast Learners,0.6335705312132728,1.7997304439645248
Sailor Brinkley-Cook,Valentin Chmerkovskiy,28,9,21,6.714257800253056,Media,1,Underdogs,-1.2177868202375266,0.8918516050775748
Sean Spicer,Lindsay Arnold,28,6,48,7.227314746998321,Other,3,Veteran Stars,0.7468189979117742,1.6295106879588546
Mary Wilson,Brandon Armstrong,28,12,75,9.632781422233716,Entertainment,3,Veteran Stars,3.161710051316527,-1.1918562676041295
Lauren Alaina,Gleb Savchenko,28,4,24,9.632781422233716,Entertainment,1,Underdogs,-0.7286683161093704,0.08263251785637307
Ally Brooke,Sasha Farber,28,3,26,9.632781422233716,Entertainment,0,Fast Learners,-0.8947975788664866,0.9821169481761729
Karamo Brown,Jenna Johnson,28,8,38,14.82622436764216,Entertainment,0,Fast Learners,0.2681123243435987,0.6409794276230765
Hannah Brown,Alan Bersten,28,1,24,6.435366506974363,Entertainment,1,Underdogs,-0.8876766829238101,-0.06744352908987176
Anne Heche,Keo Motsepe,29,13,51,8.572830591817263,Entertainment,3,Veteran Stars,1.1766532163573182,0.21309095707118736
Jesse Metcalfe,Sharna Burgess,29,12,41,8.572830591817263,Entertainment,0,Fast Learners,1.0942572271532829,-0.3145767888737502
Chrishell Stause,Gleb Savchenko,29,8,39,16.527672005730295,Entertainment,0,Fast Learners,0.313442186789395,1.625942850589994
Skai Jackson,Alan Bersten,29,5,18,8.572830591817263,Entertainment,1,Underdogs,-2.022708302464307,0.18871358328744128
Justina Machado,Sasha Farber,29,4,48,8.572830591817263,Entertainment,1,Underdogs,0.05331747683641257,0.13938098212109645
Charles Oakley,Emma Slater,29,15,56,3.157047358442309,Sports,2,Fast Learners,1.0698574271702659,2.8796850696428433
Veron Davis,Peta Murgatroyd,29,11,36,3.157047358442309,Sports,2,Fast Learners,-0.3850602223367984,0.5712730910325441
Johnny Weir,Britt Stewart,29,6,36,3.157047358442309,Sports,2,Fast Learners,-1.5464459659812055,1.1141340709005527
AJ McLean,Cheryl Burke,29,7,42,9.632781422233716,Entertainment,0,Fast Learners,0.20598722554762539,0.5201984032409929
Nelly,Daniella Karagach,29,3,45,21.488471374419692,Entertainment,0,Fast Learners,0.6593834082939858,0.6383809901998022
Kaitlyn Bristowe,Artem Chigvintsev,29,1,35,6.435366506974363,Entertainment,1,Underdogs,-0.41779985213175486,0.2152293070274136
Carole Baskin,Pasha Pashkov,29,14,59,6.435366506974363,Entertainment,3,Veteran Stars,2.0909397344520944,1.4782646845052765
Monica Aldama,Valentin Chmerkovskiy,29,10,48,6.435366506974363,Entertainment,0,Fast Learners,0.004790798176590403,0.7259606896363642
Jeannie Mai,Brandon Armstrong,29,9,41,4.494133239736454,Entertainment,0,Fast Learners,-0.04040418936879655,0.744499671880608
Martin Kove,Britt Stewart,30,15,75,8.572830591817263,Entertainment,3,Veteran Stars,3.601152587839124,2.1493224025385795
Brian Austin Green,Sharna Burgess,30,13,48,8.572830591817263,Entertainment,3,Veteran Stars,1.4325613403943487,-0.07537185000012052
Melora Hardin,Artem Chigvintsev,30,6,54,8.572830591817263,Entertainment,0,Fast Learners,0.2605616799113241,0.5851693632982898
Matt James,Lindsay Arnold,30,12,29,0.0054492949402266,Sports,2,Fast Learners,-0.9304905015756856,0.7700951224256951
"Mike ""The Miz"" Mizanin",Witney Carson,30,9,40,3.157047358442309,Sports,2,Fast Learners,-0.5060551244895405,0.7823292983267406
Suni Lee,Sasha Farber,30,5,18,3.157047358442309,Sports,2,Fast Learners,-2.2342088542203253,0.2138937995140711
Iman Shumpert,Daniella Karagach,30,1,31,3.157047358442309,Sports,2,Fast Learners,-1.7048064493891344,1.6435122896394279
Cody Rigsby,Cheryl Burke,30,3,34,0.9200628708761152,Other,0,Fast Learners,-1.5969441719732616,1.1315439293987908
Melanie C,Gleb Savchenko,30,11,47,9.632781422233716,Entertainment,1,Underdogs,0.5893745475613769,0.3741472071170572
Jimmie Allen,Emma Slater,30,7,36,9.632781422233716,Entertainment,0,Fast Learners,-0.3276967026097155,1.058519550235085
Olivia Jade,Valentin Chmerkovskiy,30,8,21,18.224904662056034,Other,0,Fast Learners,-1.3397526052410718,0.2187770462448623
JoJo Siwa,Jenna Johnson,30,2,18,30.915043920370145,Other,1,Underdogs,-0.7102472978927484,-1.1263329727065976
Christine Chiu,Pasha Pashkov,30,14,38,6.435366506974363,Entertainment,1,Underdogs,0.7373230119198322,0.20757934907564213
Kenya Moore,Brandon Armstrong,30,10,50,6.435366506974363,Entertainment,1,Underdogs,0.3764188665147551,0.6686826071566208
Amanda Kloots,Alan Bersten,30,4,39,6.435366506974363,Entertainment,1,Underdogs,-0.2854664374758587,0.013754095571429169
Cheryl Ladd,Louis van Amstel,31,14,71,8.572830591817263,Entertainment,3,Veteran Stars,2.7297872015946827,0.9315116331693332
Selma Blair,Sasha Farber,31,12,50,8.572830591817263,Entertainment,1,Underdogs,-0.029950202506362277,0.812912666642287
Joseph Baena,Daniella Karagach,31,11,24,8.572830591817263,Entertainment,0,Fast Learners,-0.8510954258158514,1.0702464384971462
Trevor Donovan,Emma Slater,31,6,39,9.803371100784116,Entertainment,0,Fast Learners,-0.2820898719655932,1.1291720931244942
Daniel Durant,Britt Stewart,31,5,32,8.572830591817263,Entertainment,1,Underdogs,-0.2752316958076702,-0.049868785918340285
Wayne Brady,Witney Carson,31,3,50,6.031899086051454,Entertainment,1,Underdogs,0.005344402715413541,-0.05888065059419583
Sam Champion,Cheryl Burke,31,13,61,0.0609090883072503,Media,3,Veteran Stars,1.3841642136249865,1.3526067588805615
Jessie James Decker,Alan Bersten,31,10,34,2.95800655299572,Entertainment,1,Underdogs,-0.543989027190026,1.963527943161578
Jordin Sparks,Brandon Armstrong,31,9,32,9.632781422233716,Entertainment,0,Fast Learners,-0.28102284579969794,0.16670923804323062
Heidi D'Amelio,Artem Chigvintsev,31,8,50,18.224904662056034,Other,3,Veteran Stars,0.43014242309660505,0.41100021418265575
Charli D'Amelio,Mark Ballas,31,1,18,18.224904662056034,Other,1,Underdogs,-1.5173299855967635,-1.1182355334182992
Teresa Giudice,Pasha Pashkov,31,15,50,6.75078764219384,Entertainment,3,Veteran Stars,1.5339401442675205,1.5722549886132167
Vinny Guadagnino,Koko Iwasaki,31,7,34,6.435366506974363,Entertainment,1,Underdogs,0.19199300941536562,1.5067017057806718
Shangela,Gleb Savchenko,31,4,40,6.435366506974363,Entertainment,0,Fast Learners,-0.47455393293251813,0.08971597906803115
Gabby Windey,Valentin Chmerkovskiy,31,2,31,6.435366506974363,Entertainment,1,Underdogs,-0.6026081462371955,-0.10516724573500523
Jamie Lynn Spears,Alan Bersten,32,13,32,15.260601654822656,Entertainment,3,Veteran Stars,1.5271218908394666,0.21144202472279172
Mira Sorvino,Gleb Savchenko,32,10,55,8.572830591817263,Entertainment,3,Veteran Stars,1.453309677869528,0.7783639947036023
Barry Williams,Peta Murgatroyd,32,7,68,8.572830591817263,Entertainment,0,Fast Learners,0.9785825091271256,1.6331180895106738
Alyson Hannigan,Sasha Farber,32,5,49,8.572830591817263,Entertainment,0,Fast Learners,0.41274182671309484,1.737387008152659
Xochitl Gomez,Valentin Chmerkovskiy,32,1,17,7.060120470423185,Entertainment,0,Fast Learners,-1.434330404922282,0.3841773528150242
Adrian Peterson,Britt Stewart,32,11,38,3.157047358442309,Sports,2,Fast Learners,-0.5202595954747388,0.6101538349119596
Tyson Beckford,Jenna Johnson,32,12,52,6.714257800253056,Media,3,Veteran Stars,1.2456097795306593,1.9156551933107042
Jason Mraz,Daniella Karagach,32,2,46,5.593072651455092,Entertainment,1,Underdogs,-0.022975528532118806,0.0023640562801188108
Lele Pons,Brandon Armstrong,32,8,27,18.224904662056034,Other,1,Underdogs,-0.6105392614386521,0.2215622096133819
Harry Jowsey,Rylee Arnold,32,6,26,6.435366506974363,Entertainment,1,Underdogs,-0.16934082104518,1.6862147912193244
Mauricio Umansky,Emma Slater,32,9,53,6.435366506974363,Entertainment,1,Underdogs,0.1439466331686917,2.358249508760777
Charity Lawson,Artem Chigvintsev,32,4,27,0.1065713907332324,Entertainment,1,Underdogs,-1.22908646207464,-0.11962641282379215
Ariana Madix,Pasha Pashkov,32,3,38,6.435366506974363,Entertainment,1,Underdogs,-0.616372903648828,0.07223372919059164
Tori Spelling,Pasha Pashkov,33,12,51,8.572830591817263,Entertainment,0,Fast Learners,1.4132660919534448,0.9586217090055791
Eric Roberts,Britt Stewart,33,10,68,8.572830591817263,Entertainment,3,Veteran Stars,2.509563639648519,0.9690677262058016
Reginald VelJohnson,Emma Slater,33,10,74,27.542590179144533,Entertainment,3,Veteran Stars,4.136503135132489,-0.6469747245264164
Chandler Kinney,Brandon Armstrong,33,3,24,8.572830591817263,Entertainment,0,Fast Learners,-1.2144432556690128,-0.5942279330514272
Dwight Howard ,Daniella Karagach,33,6,38,3.157047358442309,Sports,2,Fast Learners,-1.4315242336815204,0.12259967865609377
Danny Amendola,Witney Carson,33,5,39,3.157047358442309,Sports,2,Fast Learners,-0.9602267207296602,0.33147811523077036
Stephen Nedoroscik,Rylee Arnold,33,4,26,5.748324479703432,Sports,2,Fast Learners,-1.4338156516668974,-0.0777163644499409
Ilona Maher,Alan Bersten,33,2,28,3.157047358442309,Sports,2,Fast Learners,-1.5899881623542558,0.7931791644160222
Brooks Nader,Gleb Savchenko,33,9,27,6.714257800253056,Media,1,Underdogs,-0.5876314423225015,0.968172608723429
Phaedra Parks,Val Chmerkovskiy,33,8,51,5.052384157600769,Entertainment,1,Underdogs,0.8234504347670203,0.5330319778755588
Jenn Tran,Sasha Farber,33,7,26,6.435366506974363,Entertainment,0,Fast Learners,-1.379288677756826,1.1772796704185708
Joey Graziadei,Jenna Johnson,33,1,29,6.435366506974363,Entertainment,1,Underdogs,-0.9010721346532933,-0.009008434496224337
Corey Feldman,Jenna Johnson,34,13,54,8.572830591817263,Entertainment,3,Veteran Stars,2.109644921003177,1.2470237624354779
Danielle Fishel,Pasha Pashkov,34,8,44,15.301346478525838,Entertainment,0,Fast Learners,0.24053482128859927,0.580417427336769
Elaine Hendrix,Alan Bersten (Rashad Jennings week 9),34,5,55,8.572830591817263,Entertainment,0,Fast Learners,0.6232971815045155,0.7135983395012495
Baron Davis,Britt Stewart,34,13,46,3.157047358442309,Sports,2,Fast Learners,0.13018948832173619,2.207188593985394
Jordan Chiles,Ezra Sosa (Apolo Anton Ohno week 9),34,3,24,3.157047358442309,Sports,2,Fast Learners,-1.8089902536467952,1.4134379815335245
Andy Richter,Emma Slater/Kaitlyn Bristowe (week 9),34,7,59,8.574703917044994,Entertainment,0,Fast Learners,1.2219100974663966,1.5581378105305268
Hilaria Baldwin,Gleb Savchenko,34,11,41,18.10594851009501,Other,3,Veteran Stars,0.9290854322750077,-0.8754822134998601
Lauren Jauregui,Brandon Armstrong,34,12,29,9.632781422233716,Entertainment,1,Underdogs,0.5951569240052706,-1.2827684731925084
Scott Hoying,Rylee Arnold,34,10,34,24.450198559464937,Entertainment,0,Fast Learners,0.9535805524140257,0.3419356156534262
Jen Affleck,Jan Ravnik,34,9,26,6.435366506974363,Entertainment,0,Fast Learners,-0.4456742120764216,0.2944512265634874
Whitney Leavitt,Mark Ballas,34,6,32,6.435366506974363,Entertainment,0,Fast Learners,-1.1023847166152907,-0.21987038082578278
Dylan Efron,Daniella Karagach (Rumer Willis week 9),34,4,33,0.0,Entertainment,0,Fast Learners,-1.075221006118845,1.6107057428643912
