,celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,competed_next_week,judge_score,judge_rank,judge_percent,fan_votes_estimate,fan_rank,combined_score,week,was_eliminated,consistency
59,Penn Jillette,Kym Johnson,Magician,Massachusetts,United States,53,6,Eliminated Week 2,12,5.0,6.0,5.0,,6.0,6.0,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,8.35421888053467,2.0,3.0,10,False,0.0
60,Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,6,Eliminated Week 4,9,5.0,5.0,5.0,,6.0,7.0,6.0,,7.0,7.0,7.0,,6.0,7.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,8.35421888053467,2.0,3.0,10,False,0.0
61,Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,6,Eliminated Week 8,5,8.0,8.0,8.0,,9.0,8.0,9.0,,7.0,6.0,8.0,,8.0,7.0,9.0,,9.0,9.0,9.0,,9.0,9.0,10.0,,8.5,8.5,8.5,,9.0,8.5,9.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,8.35421888053467,2.0,3.0,10,False,0.0
62,Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,7,Eliminated Week 1,12,6.0,6.0,6.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,0.14436958614051976,1.0,2.0,10,True,1.0
63,Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,7,Eliminated Week 6,7,6.0,5.0,5.0,,5.0,5.0,5.0,,6.0,5.0,5.0,,8.0,7.0,7.0,,7.0,7.0,7.0,,5.0,5.0,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,7.218479307025986,2.0,3.0,10,False,1.0
64,Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,7,Eliminated Week 7,6,6.0,6.0,6.5,,7.0,7.0,7.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,7.0,7.0,8.0,,8.0,8.0,7.0,,8.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,7.218479307025986,2.0,3.0,10,False,1.0
65,Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,7,Eliminated Week 9,4,7.0,6.5,7.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,7.0,8.0,8.0,,10.0,9.0,9.0,,8.0,8.0,7.0,,8.0,7.0,7.0,,8.0,8.0,8.0,,8.0,7.5,7.5,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,7.218479307025986,2.0,3.0,10,False,1.0
66,Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,7,Withdrew,10,6.5,7.5,7.0,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,7.218479307025986,2.0,3.0,10,False,1.0
67,Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,7,Eliminated Week 8,5,6.5,6.5,6.5,,7.0,6.0,6.0,,8.0,8.0,8.0,,6.0,7.0,7.0,,9.0,9.0,9.0,,7.0,7.0,7.0,,8.0,9.0,8.0,,8.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,7.218479307025986,2.0,3.0,10,False,1.0
68,Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,7,2nd Place,2,7.0,7.0,7.5,,8.0,8.0,8.0,,9.0,8.0,8.0,,8.0,7.0,7.0,,8.0,8.0,9.0,,8.0,9.0,8.0,,7.0,7.0,7.0,,9.5,8.5,9.0,,8.5,8.0,8.0,,9.0,9.5,9.0,,,,,,False,9.166666666666666,11.0,22.916666666666664,13.835418671799808,12.0,23.0,10,False,1.0
69,Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,7,Eliminated Week 1,13,4.0,4.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,7.218479307025986,2.0,3.0,10,False,1.0
70,Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,7,Eliminated Week 5,8,7.5,7.0,8.0,,7.0,8.0,8.0,,8.0,7.0,7.0,,7.0,7.0,8.0,,7.0,7.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,7.218479307025986,2.0,3.0,10,False,1.0
71,Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,7,3rd Place,3,7.5,6.0,8.0,,7.0,6.0,7.0,,8.0,7.0,7.0,,9.0,8.0,9.0,,7.0,7.0,7.0,,9.0,9.0,9.0,,9.0,7.0,9.0,,8.5,7.5,9.0,,10.0,9.0,9.5,,9.0,9.0,9.5,,,,,,False,9.166666666666666,11.0,22.916666666666664,13.835418671799808,12.0,23.0,10,False,1.0
72,Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,7,Eliminated Week 2,11,6.0,6.5,6.0,,6.0,6.0,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,7.218479307025986,2.0,3.0,10,False,1.0
73,Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,7,Eliminated Week 4,9,6.0,5.5,6.0,,5.0,6.0,5.0,,7.0,7.0,6.0,,6.0,6.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,7.218479307025986,2.0,3.0,10,False,1.0
74,Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,7,1st Place,1,8.0,8.0,8.5,,8.0,8.0,8.0,,9.0,10.0,9.0,,9.0,8.0,9.0,,10.0,9.0,10.0,,8.0,10.0,8.0,,10.0,10.0,10.0,,9.5,8.5,9.5,,8.0,8.5,8.0,,10.0,10.0,10.0,,,,,,False,10.0,13.0,25.0,7.218479307025986,2.0,15.0,10,False,1.0
88,Ashley Hamiliton,Edyta Sliwinska,Actor/Actress,California,United States,34,9,Eliminated Week 1,16,6.3333,7.3333,5.3333,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,0.11579475148709409,1.0,2.0,10,True,1.0
89,Debi Mazar,Maksim Chmerkoskiy,Actor/Actress,New York,United States,45,9,Eliminated Week 3,12,8.0,7.0,7.0,,7.0,7.0,7.0,,6.0,5.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,5.98276742508369,3.0,4.0,10,False,1.0
90,Melissa Joan Hart,Mark Ballas,Actor/Actress,New York,United States,33,9,Eliminated Week 6,9,8.0,8.0,8.0,,7.0,6.0,6.0,,6.0,6.0,7.0,,9.0,9.0,10.0,,8.0,8.0,7.0,,8.3333,8.3333,7.3333,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,5.98276742508369,3.0,4.0,10,False,1.0
91,Mark Dacascos,Lacey Schwimmer,Actor/Actress,Hawaii,United States,45,9,Eliminated Week 7,6,9.6666,9.6666,9.6666,,7.0,7.0,7.0,,6.0,6.0,6.0,,8.0,7.0,7.0,,9.0,9.0,8.0,,11.0,11.0,10.0,,7.0,7.5,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,5.98276742508369,3.0,4.0,10,False,1.0
92,Chuck Liddell,Anna Trebunskaya,Athlete,California,United States,39,9,Eliminated Week 4,11,8.0,7.0,7.0,,6.0,7.0,6.0,,6.0,5.0,6.0,,6.0,5.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,5.98276742508369,3.0,4.0,10,False,1.0
93,Natalie Coughlin,Alec Mazo,Athlete,California,United States,27,9,Eliminated Week 5,10,9.6666,8.6666,8.6666,,7.0,7.0,7.0,,9.0,8.0,9.0,,8.0,8.0,8.0,,7.0,8.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,5.98276742508369,3.0,4.0,10,False,1.0
94,Louie Vito,Chelsie Hightower,Athlete,Ohio,United States,21,9,Eliminated Week 6,8,8.6666,9.6666,8.6666,,6.0,7.0,6.0,,8.0,5.0,7.0,,5.0,5.0,6.0,,7.0,8.0,7.0,,8.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,5.98276742508369,3.0,4.0,10,False,1.0
95,Michael Irvin,Anna Demidova,Athlete,Florida,United States,43,9,Eliminated Week 7,7,7.0,6.0,6.0,,7.0,7.0,6.0,,5.0,4.0,5.0,,5.0,6.0,5.0,,7.0,7.0,7.0,,6.6666,8.6666,6.6666,,8.0,8.0,7.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,5.98276742508369,3.0,4.0,10,False,1.0
96,Joanna Krupa,Derek Hough,Model,,Poland,30,9,Eliminated Week 9,4,11.3333,11.3333,11.3333,,6.0,7.0,7.0,,7.0,8.0,8.0,,9.0,8.0,9.0,,8.0,8.0,8.0,,11.3333,12.3333,12.3333,,9.0,9.0,9.5,,8.5,8.5,9.0,,9.0,9.0,9.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,5.98276742508369,3.0,4.0,10,False,1.0
97,Kathy Ireland,Tony Dovolani,Model,California,United States,46,9,Eliminated Week 2,14,7.3333,6.3333,6.3333,,6.0,6.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,5.98276742508369,3.0,4.0,10,False,1.0
98,Tom DeLay,Cheryl Burke,Politician,Texas,United States,62,9,Withdrew,13,7.3333,6.3333,6.3333,,6.0,6.0,6.0,,6.0,4.0,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,5.98276742508369,3.0,4.0,10,False,1.0
99,Macy Gray,Jonathan Roberts,Singer/Rapper,Ohio,United States,42,9,Eliminated Week 1,15,7.3333,5.3333,6.3333,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,5.98276742508369,3.0,4.0,10,False,1.0
100,Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,9,Eliminated Week 8,5,10.3333,11.3333,10.3333,,9.0,9.0,9.0,,8.0,6.0,7.0,,6.0,6.0,6.0,,8.0,8.0,8.0,,10.6666,11.6666,10.6666,,8.5,9.0,9.0,,8.0,8.5,8.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,5.98276742508369,3.0,4.0,10,False,1.0
101,Mya,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,9,2nd Place,2,11.3333,8.3333,11.3333,,9.0,9.0,9.0,,10.0,7.0,10.0,,10.0,8.0,10.0,,9.0,9.0,9.0,,11.0,10.0,12.0,,8.5,7.5,8.5,,9.5,10.0,10.0,,9.3333,9.6666,10.0,,9.4444,9.4444,9.4444,,,,,,False,9.4444,15.0,23.610999999999997,11.450827179807249,16.0,31.0,10,False,1.0
102,Donny Osmond,Kym Johnson,Singer/Rapper,Utah,United States,51,9,1st Place,1,10.3333,9.3333,10.3333,,8.0,9.0,8.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,10.0,9.0,10.0,,10.3333,10.3333,10.3333,,8.5,8.5,9.0,,8.5,8.0,8.5,,8.0,8.3333,8.3333,,9.6666,9.6666,9.6666,,,,,,False,9.6666,16.0,24.166500000000003,5.789737574354705,2.0,18.0,10,False,1.0
103,Kelly Osbourne,Louis van Amstel,TV Personality,,England,24,9,3rd Place,3,9.6666,10.6666,10.6666,,6.0,7.0,6.0,,7.0,6.0,7.0,,8.0,7.0,8.0,,8.0,8.0,8.0,,8.6666,7.6666,8.6666,,8.5,8.5,9.0,,8.0,8.5,9.0,,8.6666,8.6666,8.6666,,8.5,8.5,8.2222,,,,,,False,8.4074,14.0,21.0185,10.850431393346668,15.0,29.0,10,False,1.0
104,Aiden Turner,Edyta Sliwinska,Actor/Actress,,England,32,10,Eliminated Week 4,9,5.0,5.0,5.0,,7.0,6.0,6.0,,7.0,6.0,7.0,,5.5,5.5,5.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,0.16416353752723747,1.0,2.0,10,True,1.0
105,Shannen Doherty,Mark Ballas,Actor/Actress,Tennessee,United States,38,10,Eliminated Week 2,11,6.0,6.0,6.0,,7.0,6.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,8.542605362894443,3.0,4.0,10,False,1.0
106,Niecy Nash,Louis van Amstel,Actor/Actress,California,United States,40,10,Eliminated Week 8,5,7.0,5.0,6.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,6.0,6.0,6.0,,6.0,6.0,6.0,,8.6666,8.6666,8.6666,,8.5,8.0,8.0,,7.0,7.0,7.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,8.542605362894443,3.0,4.0,10,False,1.0
107,Buzz Aldrin,Ashly DelGrosso,Astronaut,New Jersey,United States,80,10,Eliminated Week 3,10,5.0,4.0,5.0,,4.0,4.0,4.0,,5.0,4.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,8.542605362894443,3.0,4.0,10,False,1.0
108,Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,10,Eliminated Week 9,4,6.0,6.0,6.0,,6.0,5.0,5.0,,7.0,6.0,7.0,,7.5,6.5,8.0,,6.0,6.0,6.0,,10.3333,10.3333,10.3333,,8.5,9.0,8.5,,7.5,7.5,7.5,,8.5,8.5,9.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,8.542605362894443,3.0,4.0,10,False,1.0
109,Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,10,2nd Place,2,8.0,7.0,8.0,,8.0,8.0,8.0,,9.0,8.0,9.0,,9.0,8.0,9.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,8.5,9.0,,10.0,9.5,10.0,,9.3333,8.7777,8.7777,,,,,,False,8.9629,9.0,22.407249999999998,15.899512215408828,10.0,19.0,10,False,1.0
110,Pamela Anderson,Damian Whitewood,Model,,Canada,42,10,Eliminated Week 7,6,7.0,6.0,8.0,,7.0,7.0,8.0,,7.0,7.0,7.0,,7.5,7.5,8.5,,7.0,6.0,8.0,,9.6666,9.6666,10.6666,,8.5,8.5,8.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,8.542605362894443,3.0,4.0,10,False,1.0
111,Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,10,1st Place,1,9.0,7.0,9.0,,10.0,8.0,10.0,,8.0,6.0,9.0,,8.5,8.0,8.5,,10.0,9.0,10.0,,12.3333,10.3333,13.3333,,9.0,9.0,9.0,,10.0,9.5,10.0,,10.0,9.5,10.0,,9.5,9.5,9.7777,,,,,,False,9.592566666666666,11.0,23.981416666666668,8.208176876361874,2.0,13.0,10,False,1.0
112,Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,10,3rd Place,3,7.0,7.0,7.0,,8.0,7.0,8.0,,8.0,7.0,8.0,,6.5,6.5,6.5,,7.0,7.0,8.0,,12.0,10.0,12.0,,8.5,8.5,8.5,,8.5,9.0,9.0,,9.5,9.0,9.5,,9.2222,8.8888,8.8888,,,,,,False,8.999933333333333,10.0,22.49983333333333,15.929909830440955,11.0,21.0,10,False,1.0
113,Kate Gosselin,Tony Dovolani,TV Personality,Pennsylvania,United States,35,10,Eliminated Week 5,8,6.0,5.0,5.0,,5.0,5.0,5.0,,5.0,5.0,5.0,,5.0,5.5,5.5,,5.0,5.0,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,8.542605362894443,3.0,4.0,10,False,1.0
114,Jake Pavelka,Chelsie Hightower,TV Personality,Texas,United States,32,10,Eliminated Week 6,7,7.0,6.0,7.0,,6.0,7.0,7.0,,7.0,7.0,7.0,,6.5,6.5,6.0,,8.0,7.0,8.0,,8.3333,8.3333,8.3333,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,8.542605362894443,3.0,4.0,10,False,1.0
115,David Hasselhoff,Kym Johnson,Actor/Actress,Maryland,United States,58,11,Eliminated Week 1,12,5.0,5.0,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,0.15641301168561608,1.0,2.0,10,True,1.0
116,Florence Henderson,Corky Ballas,Actor/Actress,Indiana,United States,76,11,Eliminated Week 5,8,6.0,6.0,6.0,,7.0,6.0,6.0,,7.0,6.0,7.0,,6.0,6.0,5.5,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,7.820650584280804,2.0,3.0,10,False,1.0
117,Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,11,2nd Place,2,8.0,7.0,8.0,,8.0,7.0,7.0,,8.0,7.0,8.0,,7.0,6.5,6.5,,8.0,5.0,7.0,,10.3333,9.3333,10.3333,,9.0,8.5,8.0,8.0,9.5,9.0,9.5,,10.0,9.0,10.0,,9.3333,8.6666,9.3333,,,,,,False,9.111066666666666,11.0,22.777666666666665,14.946097469289604,12.0,23.0,10,False,1.0
118,Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,11,1st Place,1,8.0,8.0,8.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,9.5,9.0,9.5,,8.0,8.0,9.0,,9.0,10.0,10.0,,9.5,9.0,9.0,9.0,9.5,9.5,9.5,,10.0,10.0,10.0,,10.0,10.0,10.0,,,,,,False,10.0,12.0,25.0,7.820650584280804,2.0,14.0,10,False,1.0
119,Rick Fox,Cheryl Burke,Athlete,,Canada,41,11,Eliminated Week 7,6,8.0,7.0,7.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,6.0,7.0,6.5,,8.0,8.0,8.0,,10.0,10.0,10.0,,9.0,8.5,8.5,8.5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,7.820650584280804,2.0,3.0,10,False,1.0
120,Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,11,Eliminated Week 8,5,7.0,5.0,7.0,,7.0,7.0,7.0,,8.0,8.0,7.0,,6.0,5.5,5.5,,8.0,8.0,8.0,,7.3333,7.3333,7.3333,,9.5,8.5,8.5,8.5,8.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,7.820650584280804,2.0,3.0,10,False,1.0
121,Margaret Cho,Louis van Amstel,Comedian,California,United States,41,11,Eliminated Week 3,10,5.0,5.0,5.0,,6.0,6.0,6.0,,6.0,6.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,7.820650584280804,2.0,3.0,10,False,1.0
122,Michael Bolton,Chelsie Hightower,Singer/Rapper,Connecticut,United States,57,11,Eliminated Week 2,11,6.0,5.0,5.0,,4.0,5.0,3.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,7.820650584280804,2.0,3.0,10,False,1.0
123,Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,11,Eliminated Week 9,4,7.0,8.0,8.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,11.3333,12.3333,12.3333,,9.0,9.0,9.5,9.0,9.0,9.5,10.0,,9.5,9.5,9.5,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,7.820650584280804,2.0,3.0,10,False,1.0
124,The Situation,Karina Smirnoff,TV Personality,New York,United States,28,11,Eliminated Week 4,9,5.0,5.0,5.0,,6.0,6.0,6.0,,7.0,6.0,7.0,,5.0,4.5,4.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,7.820650584280804,2.0,3.0,10,False,1.0
125,Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,11,Eliminated Week 6,7,6.0,7.0,6.0,,8.0,8.0,7.0,,8.0,9.0,9.0,,8.0,7.5,7.5,,7.0,8.0,8.0,,10.6666,10.6666,10.6666,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,7.820650584280804,2.0,3.0,10,False,1.0
126,Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,11,3rd Place,3,6.0,6.0,6.0,,7.0,8.0,7.0,,6.0,6.0,7.0,,5.0,5.5,5.5,,6.0,6.0,6.0,,9.6666,8.6666,9.6666,,8.5,8.0,8.0,8.0,7.5,8.0,8.0,,8.5,9.0,9.0,,8.3333,9.0,8.3333,,,,,,False,8.555533333333335,10.0,21.388833333333338,14.511634260497527,11.0,21.0,10,False,1.0
127,Ralph Macchio,Karina Smirnoff,Actor/Actress,New York,United States,49,12,Eliminated Week 9,4,8.0,8.0,8.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,8.0,8.0,9.0,,8.0,7.0,7.0,,8.0,8.0,8.0,,9.0,8.5,7.5,8.0,7.5,7.5,8.0,,8.0,8.0,8.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,0.18112272543817362,1.0,2.0,10,True,1.0
128,Chelsea Kane,Mark Ballas,Actor/Actress,Arizona,United States,22,12,3rd Place,3,7.0,7.0,7.0,,6.0,5.0,7.0,,7.0,8.0,8.0,,9.0,8.0,9.0,,9.0,8.0,9.0,,10.0,9.0,9.0,,8.0,8.5,7.5,8.0,9.0,9.0,9.5,,12.0,12.0,12.5,,10.0,9.6666,10.0,,,,,,False,9.888866666666667,10.0,24.722166666666666,9.05613627190868,2.0,12.0,10,False,1.0
129,Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,60,12,2nd Place,2,8.0,7.0,8.0,,7.0,6.0,7.0,,7.0,7.0,7.0,,7.0,7.0,8.0,,8.0,7.0,8.0,,8.0,9.0,9.0,,8.0,7.0,7.0,8.0,8.5,9.0,9.0,,9.0,9.0,9.0,,9.3333,9.3333,9.3333,,,,,,False,9.3333,9.0,23.33325,17.609143799671024,11.0,20.0,10,False,1.0
130,Hines Ward,Kym Johnson,Athlete,,South Korea,35,12,1st Place,1,7.0,7.0,7.0,,8.0,7.0,8.0,,9.0,8.0,8.0,,9.0,8.0,8.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,8.0,8.0,8.0,9.0,9.0,9.0,9.0,,10.0,10.0,10.0,,10.0,9.6666,10.0,,,,,,False,9.888866666666667,10.0,24.722166666666666,9.05613627190868,2.0,12.0,10,False,1.0
131,Sugar Ray Leonard,Anna Trebunskaya,Athlete,North Carolina,United States,54,12,Eliminated Week 4,9,6.0,5.0,6.0,,6.0,5.0,6.0,,7.0,6.0,7.0,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,0.0,1.0,0.0,9.156780133010493,4.0,5.0,10,False,1.0
